COLLEGE_FOOTBALL_DATA,SP_PLUS
Air Force,Air Force
Akron,Akron
Alabama,Alabama
Appalachian State,App. St.
Arizona,Arizona
Arizona State,Arizona St.
Arkansas,Arkansas
Arkansas State,Arkansas St.
Army,Army
Auburn,Auburn
Ball State,Ball St.
Baylor,Baylor
Boise State,Boise St.
Boston College,Boston Coll.
Bowling Green,BGSU
Buffalo,Buffalo
BYU,BYU
California,California
Central Michigan,CMU
Charlotte,Charlotte
Cincinnati,Cincinnati
Clemson,Clemson
Coastal Carolina,Coastal Caro.
Colorado,Colorado
Colorado State,Colorado St.
Connecticut,UConn
Duke,Duke
East Carolina,ECU
Eastern Michigan,EMU
Florida,Florida
Florida Atlantic,FAU
Florida International,FIU
Florida State,Florida St.
Fresno State,Fresno St.
Georgia,Georgia
Georgia Southern,Ga. Southern
Georgia State,Georgia St.
Georgia Tech,Ga. Tech
Hawai'i,Hawaii
Houston,Houston
Illinois,Illinois
Indiana,Indiana
Iowa,Iowa
Iowa State,Iowa St.
Kansas,Kansas
Kansas State,Kansas St.
Kent State,Kent St.
Kentucky,Kentucky
Louisiana,Louisiana
Louisiana Monroe,UL-Monroe
Louisiana Tech,La. Tech
Louisville,Louisville
LSU,LSU
Marshall,Marshall
Maryland,Maryland
Memphis,Memphis
Miami,Miami
Miami (OH),Miami-OH
Michigan,Michigan
Michigan State,Michigan St.
Middle Tennessee,MTSU
Minnesota,Minnesota
Mississippi State,Miss. St.
Missouri,Missouri
Navy,Navy
NC State,NC St.
Nebraska,Nebraska
Nevada,Nevada
New Mexico,New Mexico
North Carolina,N. Carolina
Northern Illinois,NIU
North Texas,N. Texas
Northwestern,Northwestern
Notre Dame,Notre Dame
Ohio,Ohio
Ohio State,Ohio St.
Oklahoma,Oklahoma
Oklahoma State,Oklahoma St.
Old Dominion,ODU
Ole Miss,Ole Miss
Oregon,Oregon
Oregon State,Oregon St.
Penn State,Penn St.
Pittsburgh,Pittsburgh
Purdue,Purdue
Rice,Rice
Rutgers,Rutgers
San Diego State,SDSU
San JosÈ State,SJSU
SMU,SMU
South Alabama,S. Alabama
South Carolina,S. Carolina
Southern Mississippi,So. Miss
South Florida,USF
Stanford,Stanford
Syracuse,Syracuse
TCU,TCU
Temple,Temple
Tennessee,Tennessee
Texas,Texas
Texas A&M,Texas A&M
Texas State,Texas St.
Texas Tech,Texas Tech
Toledo,Toledo
Troy,Troy
Tulane,Tulane
Tulsa,Tulsa
UAB,UAB
UCF,UCF
UCLA,UCLA
UMass,UMass
UNLV,UNLV
USC,USC
Utah,Utah
Utah State,Utah St.
UTEP,UTEP
UT San Antonio,UTSA
Vanderbilt,Vanderbilt
Virginia,Virginia
Virginia Tech,Va. Tech
Wake Forest,Wake Forest
Washington,Washington
Washington State,Wash. St.
Western Kentucky,WKU
Western Michigan,WMU
West Virginia,W. Virginia
Wisconsin,Wisconsin
Wyoming,Wyoming
New Mexico State,NMSU
Liberty,Liberty
